unique_id;station;station_new;Transect;depth;pressure;t190C;sal00;sbeox0ML/L;sigma;Cruise;Lat ;Lon;Bot.Depth [m];Nitrate;Phosphate;Silicate;Distance_from_shore;Profile feature;HPLC_ID;Microscopy ID;Flow cyt phyto ID;Diatoms;Dinoflagellates;Cryptophytes;Pelagophytes;T4haptophytes;Prasinophytes;Chlorophytes;Synechococcus;Chl_c3;Peri;19-But;Fuco;Neox;Pras;Viola;Asta;Allox;Zea;Lut;Chl_b;div_Chl_a;Chl_a
74_35;74;T5_5;Transect 5;35;35.19397;17.4895;35.1597;1.78921;25.5186;MSM80;-15.3;-76.501;3835;28.917;2.294;10.367;140;NA;277;NA;265;139.3914795;76.90427399;38.99449921;7.556230068;0;12.24332905;6.471618652;33.64754486;0;59.8898;11.488;157.5508;2.6974;3.6755;1.2299;8.7318;9.9024;27.2896;6.1609;17.55;0;315.209
78_30;78;T5_4;Transect 5;30;30.15884;18.1904;35.0765;2.18597;25.2839;MSM80;-15.299;-75.834;2300;21.032;2.086;9.016;65;NA;282;116;270;1325.171143;391.4711609;605.826416;23.19026756;0;216.3994904;18.07975197;93.63103485;0;242.9773;28.3117;840.3836;33.3002;60.6972;14.5691;48.2403;110.9589;66.1716;16.5792;180.9543;0;2673.7691
80_30;80;T5_3;Transect 5;30;30.16673;16.3292;35.073;0.22719;25.7066;MSM80;-15.299;-75.583;1168;28.324;2.593;14.973;36;NA;290;NA;277;133.4948273;97.06522369;67.22909546;9.379657745;0;10.06501579;28.65777779;31.96390152;0;79.2157;14.9498;184.8599;3.4261;6.368;0;11.9372;17.3424;29.6445;26.7038;20.0572;0;377.8555
82_25;82;T5_2;Transect 5;25;25.15551;16.062;35.073;1.48168;25.7834;MSM80;-15.3;-75.417;532;22.728;2.001;8.19;20;NA;295;122;282;135.1005859;34.24743652;25.50392723;10.79651165;0;34.8042984;2.10077858;11.01502419;0;23.0263;13.8473;103.3019;3.6908;12.0833;1.4339;6.6297;5.2504;12.1356;2.4299;31.9067;13.4682;253.5686
94_6_30;94_6;T6_3;Transect 6;30;30.17478;15.2854;35.0364;0.12285;25.9328;MSM80;-16;-75;2856;19.009;2.423;8.294;105;NA;346;149;332;180.690918;0;76.97489166;5.205705166;65.12039185;41.5261116;11.5873661;29.45614815;36.2661;0;8.1441;127.9954;4.405;7.5725;4.0444;20.7831;14.1379;24.4903;8.7159;44.9307;16.414;410.5616
95_30;95;T6_1;Transect 6;30;30.19096;15.5907;35.0298;0.5801;25.8649;NA;-16;-74.166;119;28.342;2.535;14.145;15;NA;352;152;338;132.2650909;93.04953003;50.83143234;3.34875536;11.09879017;10.50045109;0;17.89844322;7.5149;60.9592;4.5825;101.0198;2.2599;0;1.0754;8.9648;10.0461;15.0049;0;14.1632;10.9182;318.9925
96_25;96;T6_5;Transect 6;25;25.16219;16.6518;35.1141;2.24682;25.6783;MSM80;-15.999;-76;3726;22.487;2.047;7.892;199;NA;358;NA;344;293.5548706;92.46206665;150.9137268;34.0017662;179.942276;157.243515;16.52142334;64.11685181;113.639;64.2857;48.9178;293.1459;18.8405;36.5038;11.2876;9.6782;30.8277;55.6728;15.1799;166.2193;22.557;988.7564
104_1_25;104_1;T6_2;Transect 6;25;25.15385;16.0469;35.0238;1.47779;25.7493;MSM80;-15.999;-74.333;620;22.799;2.053;8.685;33;NA;376;164;362;236.2696533;118.4514694;98.21058655;6.072106361;37.63423157;35.94753265;2.591402769;10.50903511;25.2618;83.5524;9.5053;217.5444;5.9821;6.1888;2.4726;7.8075;21.0113;13.1993;2.8358;44.051;13.2509;545.6861
104_1_35;104_1;T6_2;Transect 6;35;35.21419;15.5938;35.0019;1.05276;25.8392;MSM80;-15.999;-74.333;620;27.911;2.711;14.89;33;NA;377;NA;363;8.02066803;109.2043686;56.31020355;3.932544947;1.66997385;0;0;19.72214508;3.7682;86.7784;6.1932;54.0348;0;0;0.6802;11.3031;14.0108;32.2782;0;0;63.1889;198.8599
1_40;1;T1_6;Transect 1;40;40.26286;19.2531;35.2303;2.87531;25.12;MSM80;-8.499;-80.999;6229;15.965;1.467;6.794;230;Chla max;3;2;3;15.88937378;9.024280548;0.173560038;101.9385834;57.68966293;116.0629883;5.728607178;77.59177399;64.9851;5.6762;119.1167;31.262;12.9566;8.6888;9.1723;4.1911;0;90.3301;5.2198;168.3746;144.5198;384.0989
4_40;4;T1_5;Transect 1;40;40.23274;17.952;35.1696;1.98241;25.407;MSM80;-8.516;-80.493;1328;27.726;2.171;11.668;175;Oxycline mid;9;NA;9;54.73287582;11.21511841;20.93843079;33.62731171;85.40005493;107.4838181;2.129552364;19.21675873;61.199;8.372;43.2162;77.3716;11.6379;18.0286;4.2708;5.2255;4.5611;33.6182;3.3606;130.1901;61.0486;334.7439
4_60;4;T1_5;Transect 1;60;60.35091;15.1588;35.0429;0.10067;25.9676;MSM80;-8.516;-80.493;1328;33.349;2.279;18.147;175;Oxycline low;10;6;10;0;7.421032429;15.26619911;5.021193981;21.7428627;11.3180685;2.935156822;7.590930939;15.7288;5.8018;7.4012;13.7708;1.1058;3.7076;0.4929;2.9843;3.4428;15.1656;2.8462;13.2615;32.1959;71.2954
7_40;7;T1_4;Transect 1;40;40.26516;19.7869;35.2738;2.80372;25.0047;MSM80;-8.499;-80.031;356;25.957;1.904;11.077;120;NA;18;NA;17;91.34254456;14.21055508;38.59392166;69.25698853;134.5409851;134.1737823;5.313434124;68.28462982;88.0875;6.8148;76.8023;57.6412;12.2043;7.5615;8.4726;4.1435;6.0314;73.2278;4.4831;185.1494;124.2222;555.7169
